#;Player;Score;Kills;Death;Damage;Map Count;Teams;Maps;Rounds;K-D Diff;K/D;Rating1.0;First Place;Second Place;Third Place;Earnings
318.0;Lekr0;6.1;0.67;0.68;75.78;137.0;['ninjas-in-pyjamas', 'dignitas', 'fnatic', 'godsent'];1413.0;37617.0;840.0;1.03;1.01;11.0;11.0;24.0;$464,815
;LeoGOD;;;;;;['c4', 'red-canids', 'yeah', 'rufus'];243.0;6383.0;74.0;1.02;1.0;;;;
765.0;Leomonster;5.8;0.63;0.72;72.34;117.0;['meta', 'bravos', 'intz'];551.0;14244.0;-853.0;0.92;0.94;;;;
565.0;Levi;5.9;0.65;0.71;74.59;37.0;['unity', 'esuba', 'universe'];376.0;9968.0;-474.0;0.93;0.95;;;;
557.0;Liazz;5.9;0.62;0.64;71.82;241.0;['renegades', 'order', 'grayhound', '100-thieves', 'kings', 'athletico'];1185.0;30098.0;2504.0;1.14;1.07;14.0;9.0;15.0;$145,849
937.0;Libido;5.6;0.59;0.69;66.47;41.0;;;;;;;;;;
1025.0;Lich;5.5;0.57;0.7;65.58;52.0;;;;;;;;;;
;Lightstep;;;;;;['chiefs', 'legacy'];272.0;6882.0;-574.0;0.88;0.88;;;;
872.0;Liki;5.7;0.6;0.71;69.9;50.0;['looking-for-org', 'dire-wolves', 'encore'];507.0;12853.0;239.0;1.03;0.99;;;;
928.0;Linko;5.6;0.61;0.77;72.36;32.0;;;;;;;;;;
;Llamas;;;;;;['ground-zero', 'breakaway', 'syf'];460.0;11797.0;-35.0;1.0;0.98;;;;
812.0;Lobanjica;5.8;0.6;0.76;74.7;38.0;;;;;;;8.0;6.0;10.0;$101,660
;Loord;;;;;;['esc', 'csgl', 'dobrygaming'];374.0;9545.0;-651.0;0.9;0.89;25.0;17.0;19.0;$136,211
15.0;Lucaozy;6.5;0.76;0.63;82.15;182.0;['fluxo', 'sharks', 'detona'];734.0;19125.0;1698.0;1.14;1.08;;;;
264.0;Lucky;6.1;0.66;0.64;76.71;373.0;['tricked', 'espionage', 'astralis'];998.0;25821.0;2275.0;1.14;1.07;25.0;23.0;15.0;$158,280
264.0;Lucky;6.1;0.66;0.64;76.71;373.0;['3dmax', 'heretics', 'dbl-poney', 'heet', 'g2'];1600.0;42306.0;1666.0;1.06;1.02;25.0;23.0;15.0;$158,280
306.0;Lucky;6.1;0.67;0.61;68.82;364.0;['tricked', 'espionage', 'astralis'];998.0;25821.0;2275.0;1.14;1.07;25.0;23.0;15.0;$158,280
306.0;Lucky;6.1;0.67;0.61;68.82;364.0;['3dmax', 'heretics', 'dbl-poney', 'heet', 'g2'];1600.0;42306.0;1666.0;1.06;1.02;25.0;23.0;15.0;$158,280
322.0;Ludwig;6.1;0.69;0.65;74.39;46.0;;;;;;;;;;
141.0;Luken;6.2;0.72;0.65;76.39;56.0;['sharks', '9z', 'furious', 'bestia'];335.0;8752.0;951.0;1.17;1.11;;;;
;Lukki;;;;;;['tricked', 'agf', 'singularity'];895.0;23495.0;-18.0;1.0;0.99;;;;
;Luz;;;;;;['pride', 'izako-boars'];660.0;17302.0;-994.0;0.92;0.92;;;;
;Luzuh;;;;;;['endpoint', 'excel'];297.0;7752.0;276.0;1.05;1.02;;;;
;LyGHT;;;;;;['expert', 'divizon', 'euronics', 'friendlyfire'];225.0;5921.0;133.0;1.03;1.02;;;;
81.0;M1key;6.3;0.73;0.71;84.1;57.0;['unity', 'esuba', 'enterprise'];204.0;5205.0;-90.0;0.98;0.99;;;;
;MAIROLLS;;;;;;['alpha-red', 'beyond', 'nspr'];501.0;12982.0;-222.0;0.97;0.97;;;;
895.0;MAJ3R;5.7;0.58;0.65;66.62;240.0;['eternal-fire', 'space-soldiers', 'sangal'];1339.0;35000.0;-991.0;0.96;0.95;31.0;16.0;13.0;$211,085
;MAKKA;;;;;;['ronin'];240.0;6369.0;136.0;1.03;1.01;;;;
10.0;MATYS;6.6;0.79;0.71;86.26;299.0;['fnatic', 'sampi', 'enterprise'];586.0;15343.0;1015.0;1.09;1.1;;;;
;MAiNLiNE;;;;;;['enemy', 'selfless', 'eunited', 'method'];437.0;11092.0;-1064.0;0.87;0.89;;;;
511.0;MICHU;6.0;0.66;0.69;74.85;155.0;['virtuspro', 'kinguin'];1885.0;49295.0;3073.0;1.09;1.07;20.0;17.0;22.0;$242,016
;MINISE;;;;;;['pact', 'pride', 'kinguin'];1873.0;49950.0;583.0;1.02;1.0;29.0;33.0;25.0;$127,376
738.0;MITHPUTTINI;5.8;0.63;0.65;65.03;38.0;;;;;;;;;;
1011.0;MMS;5.5;0.59;0.72;66.17;68.0;;;;;;;;;;
;MODDII;;;;;;['heroic', 'sk'];1170.0;30550.0;401.0;1.02;1.0;26.0;26.0;24.0;$184,958
;MOLSI;;;;;;['pact', 'avez'];288.0;7648.0;-244.0;0.95;0.96;;;;
659.0;MRN1;5.9;0.65;0.72;73.6;41.0;['boca-juniors', 'river-plate'];343.0;9074.0;-230.0;0.97;0.99;;;;
712.0;MSL;5.8;0.63;0.7;67.85;35.0;['dignitas', 'north'];1777.0;46431.0;-3455.0;0.9;0.92;20.0;19.0;25.0;$354,064
589.0;MUTiRiS;5.9;0.63;0.65;72.44;309.0;['saw', 'k1ck'];1632.0;42332.0;223.0;1.01;0.99;33.0;27.0;28.0;$95,533
636.0;MWLKY;5.9;0.66;0.65;67.49;97.0;;;;;;;;;;
;MaLLby;;;;;;['arctic', 'santos'];348.0;9441.0;164.0;1.03;1.0;;;;
531.0;MaSvAl;6.0;0.63;0.66;72.1;90.0;['betera', 'iron-branch'];270.0;7130.0;-22.0;1.0;0.97;;;;
;Machinegun;;;;;;['themongolz', 'mazaalai'];431.0;10994.0;676.0;1.09;1.08;;;;
440.0;Maden;6.0;0.68;0.69;75.79;424.0;['ence', 'godsent', 'funplus-phoenix'];942.0;24856.0;268.0;1.02;1.01;;;;
294.0;Magisk;6.1;0.66;0.64;76.19;550.0;['astralis', 'vitality', 'sk', 'dignitas'];1630.0;42855.0;3483.0;1.13;1.07;36.0;13.0;22.0;$1,903,307
167.0;Magnojez;6.2;0.7;0.69;79.7;182.0;['betboom', 'k23', 'spirit-academy', 'websterz'];293.0;7275.0;78.0;1.02;1.01;;;;
;Maikelele;;;;;;['nochance', 'godsent'];1075.0;28357.0;941.0;1.05;1.01;17.0;12.0;15.0;$134,562
150.0;Maka;6.2;0.69;0.59;72.13;345.0;['3dmax', 'heretics', 'ldlc'];1604.0;42242.0;3397.0;1.13;1.07;22.0;14.0;10.0;$77,433
940.0;Makzwell;5.6;0.55;0.64;60.21;61.0;['limitless', 'x13', 'headshotkings'];207.0;5410.0;-427.0;0.88;0.89;;;;
859.0;Maluk3;5.7;0.6;0.69;65.74;153.0;['teamone'];1241.0;32243.0;1295.0;1.06;1.02;20.0;14.0;18.0;$64,518
;Mangiacapra;;;;;;;;;;;;5.0;3.0;4.0;$82,132
;Maniac;;;;;;['ldlc', 'titan'];837.0;22049.0;-388.0;0.97;0.96;;;;
;Mann3n;;;;;;['young-ninjas'];255.0;6822.0;-145.0;0.97;0.99;;;;
244.0;MarKE;6.1;0.69;0.66;75.56;283.0;['nouns', 'extra-salt', 'eunited'];1226.0;31119.0;1794.0;1.09;1.05;45.0;20.0;12.0;$168,558
;Marcelious;;;;;;['apeks', '777'];529.0;14241.0;696.0;1.07;1.05;;;;
1062.0;Marek;5.2;0.49;0.7;59.78;52.0;['ehome', 'wings-up', 'after'];498.0;13045.0;-567.0;0.94;0.94;;;;
;Marix;;;;;;['entropiq', 'sprout', 'og-academy'];374.0;9409.0;118.0;1.02;1.02;;;;
216.0;Markoś;6.2;0.69;0.63;72.78;79.0;['pge-turow', 'avez', 'wisla-krakow'];914.0;24228.0;1183.0;1.08;1.02;;;;
;Martin;;;;;;['wings-up', 'jijiehao'];224.0;6100.0;-122.0;0.97;0.97;;;;
127.0;Martinez;6.3;0.7;0.6;70.18;221.0;;;;;;;;;;
;MartinezSa;;;;;;['9z', 'movistar-riders', 'velox'];320.0;8054.0;855.0;1.17;1.09;;;;
;Mayker;;;;;;['genuine', 'chiefs', 'surge'];433.0;11216.0;-220.0;0.97;0.97;;;;
414.0;Maze;6.0;0.66;0.68;74.03;70.0;['secret', 'fnatic-rising', 'ambush'];315.0;8246.0;-275.0;0.95;0.94;;;;
;Melio;;;;;;['ocg', 'grizzlys', 'livid'];225.0;5701.0;-291.0;0.93;0.94;;;;
1008.0;Mellow;5.5;0.58;0.74;63.79;37.0;;;;;;;;;;
70.0;Mercury;6.3;0.72;0.68;79.76;165.0;['tyloo', 'rare-atom', '5yclone'];312.0;7728.0;504.0;1.1;1.07;;;;
;MetaL;;;;;;['aaa', 'wysix'];247.0;6419.0;-391.0;0.91;0.92;;;;
1002.0;MiGHTYMAX;5.5;0.56;0.65;62.97;366.0;['endpoint'];1593.0;41905.0;-3154.0;0.88;0.89;22.0;21.0;17.0;$84,670
558.0;MiQ;5.9;0.66;0.72;73.73;59.0;;;;;;;;;;
915.0;Mikki;5.7;0.59;0.65;60.32;30.0;;;;;;;;;;
481.0;MistR;6.0;0.66;0.68;73.82;263.0;['astralis-talent', 'espionage'];561.0;14341.0;-414.0;0.96;0.96;;;;
718.0;MisteM;5.8;0.63;0.71;70.49;139.0;['atk'];654.0;17154.0;-167.0;0.99;0.99;;;;
138.0;MoDo;6.3;0.72;0.6;70.53;227.0;['nexus', 'onetap', 'tsm'];495.0;12779.0;1197.0;1.15;1.07;;;;
;MoeycQ;;;;;;['immunity', 'chiefs', 'ground-zero', 'avant'];639.0;16594.0;410.0;1.04;1.02;;;;
;Momo;;;;;;['bad-news-bears', 'vendetta', 'eg-white'];231.0;6079.0;-9.0;1.0;1.01;;;;
;Monster;;;;;;['cyberzen', 'boot', 'fierce-tiger'];205.0;5457.0;146.0;1.04;1.02;;;;
;MonttY;;;;;;['extatus', 'esuba'];522.0;13451.0;338.0;1.04;1.02;;;;
734.0;MoriiSko;5.8;0.65;0.73;76.49;38.0;['entropiq-prague', 'enterprise', 'entropiq'];264.0;6904.0;-291.0;0.94;0.96;;;;
157.0;Moseyuh;6.2;0.7;0.66;78.0;109.0;['rare-atom', '5yclone', 'tyloo'];225.0;5701.0;409.0;1.11;1.07;;;;
;Mr.six;;;;;;['five', 'new4'];244.0;6220.0;200.0;1.04;1.05;;;;
;MusambaN1;;;;;;['x6tence', 'epsilon', 'overgaming', 'k1ck', 'giants'];300.0;7802.0;-493.0;0.91;0.91;;;;
;Mystic;;;;;;['london-conspiracy', 'lgb', 'panters', 'norse'];212.0;5447.0;-24.0;0.99;1.02;;;;
492.0;N1ghtraid;6.0;0.67;0.68;69.81;37.0;['vantage', 'antic', 'hazard'];232.0;5920.0;202.0;1.05;1.04;;;;
47.0;NAF;6.4;0.7;0.61;79.36;545.0;['liquid', 'optic'];1824.0;47729.0;4720.0;1.16;1.09;23.0;26.0;28.0;$1,229,749
752.0;NBK-;5.8;0.62;0.69;71.94;327.0;['envy', 'g2', 'vitality', 'og', 'falcons', 'verygames'];2296.0;60207.0;789.0;1.02;1.01;65.0;32.0;28.0;$861,695
;NEEX;;;;;;['izako-boars', 'esc'];429.0;11195.0;574.0;1.08;1.05;;;;
729.0;NEKIZ;5.8;0.63;0.69;71.55;250.0;['pain', 'luminosity'];1282.0;33383.0;-594.0;0.97;0.97;25.0;17.0;21.0;$119,640
;NENO;;;;;;['binary-dragons', 'valiance'];719.0;18580.0;455.0;1.04;1.0;;;;
;NEO;;;;;;['virtuspro', 'honoris'];2037.0;53165.0;-1558.0;0.96;0.95;50.0;36.0;51.0;$758,773
367.0;NEOFRAG;6.1;0.67;0.69;77.35;337.0;['sinners', 'og'];974.0;25626.0;1383.0;1.08;1.07;26.0;10.0;20.0;$124,534
;NEUZ;;;;;;['renewal', 'mazaalai', 'august', 'storm-rider'];293.0;7507.0;-159.0;0.97;0.99;;;;
;NEY;;;;;;['tricked', 'orgless', 'volgare', 'csgoone'];203.0;5271.0;-94.0;0.97;0.98;;;;
;NIO;;;;;;['unity', 'esuba', 'enterprise', 'dark-tigers'];244.0;6327.0;145.0;1.04;0.99;;;;
;NK4Y;;;;;;['outlaws', 'bpro', 'ex-epsilon'];480.0;12325.0;429.0;1.05;1.03;;;;
80.0;NOOZ;6.3;0.75;0.71;80.85;47.0;;;;;;;;;;
303.0;NOPEEJ;6.1;0.65;0.65;74.91;76.0;['ftw', 'offset', 'giants'];554.0;14362.0;426.0;1.05;1.01;;;;
726.0;NaToSaphiX;5.8;0.62;0.64;66.18;98.0;['sprout', 'nordavind'];1068.0;28417.0;2625.0;1.15;1.07;;;;
;Nami;;;;;;['nasr', 'risky'];211.0;5510.0;458.0;1.13;1.09;;;;
;Necrogenes1s;;;;;;['bluejays', 'lvlup', 'saints'];248.0;6843.0;-351.0;0.93;0.94;;;;
292.0;Neityu;6.1;0.67;0.69;76.58;123.0;['mouz-nxt'];213.0;5021.0;-130.0;0.96;0.96;;;;
;NertZ;;;;;;['heroic', 'endpoint', 'ence'];537.0;13895.0;1055.0;1.11;1.09;9.0;4.0;9.0;$181,255
46.0;Nertz;6.4;0.73;0.65;80.04;287.0;;;;;;;;;;
550.0;Nexius;5.9;0.66;0.72;74.51;232.0;['og', 'mouz-nxt'];399.0;10146.0;-487.0;0.93;0.95;;;;
11.0;NiKo;6.6;0.76;0.65;85.13;619.0;['g2', 'faze', 'mouz'];1876.0;49513.0;6272.0;1.19;1.15;31.0;19.0;31.0;$1,332,983
717.0;NickelBack;5.8;0.62;0.68;72.02;366.0;['entropiq', 'pro100', 'winstrike', '1win'];1689.0;45052.0;-528.0;0.98;0.97;25.0;14.0;19.0;$178,352
517.0;Nicks;6.0;0.65;0.68;74.71;96.0;;;;;;;;;;
;Nico;;;;;;['dignitas', 'cph-wolves', 'western-wolves'];399.0;10074.0;547.0;1.09;1.02;;;;
;Niffy;;;;;;['maple', 'lucid-dream', 'zigma', 'beyond'];329.0;8451.0;285.0;1.05;1.03;;;;
982.0;Nifty;5.6;0.59;0.71;63.66;45.0;['renegades', 'envy', 'selfless'];951.0;24755.0;204.0;1.01;1.0;5.0;3.0;7.0;$106,831
;NikkeZ;;;;;;['ground-zero', 'athletico'];425.0;10922.0;538.0;1.07;1.06;;;;
;NikoM;;;;;;['teamone', 'isurus'];542.0;13969.0;957.0;1.1;1.07;;;;
338.0;Nivera;6.1;0.68;0.64;70.56;40.0;;;;;;;6.0;2.0;2.0;$80,639
348.0;Nodios;6.1;0.67;0.67;74.73;284.0;['copenhagen-flames', 'ecstatic', 'tricked'];1151.0;30209.0;697.0;1.04;1.01;;;;
;Noisia;;;;;;['avant', 'breakaway', 'dark-sided'];608.0;15732.0;-665.0;0.94;0.94;;;;
750.0;Noktse;5.8;0.62;0.65;65.74;215.0;['bestia', 'isurus'];1142.0;29489.0;276.0;1.01;0.99;32.0;27.0;16.0;$71,811
;Noobster;;;;;;['ground-zero', 'paradox', 'syf'];496.0;12790.0;203.0;1.02;1.01;;;;
229.0;Norwi;6.2;0.69;0.64;75.39;435.0;['aurora', 'forze', 'trident'];868.0;22420.0;707.0;1.05;1.02;18.0;10.0;14.0;$103,002
;Not7;;;;;;['lynn-vision', 'uya', '5power', 'ehome'];204.0;5245.0;74.0;1.02;1.0;;;;
;Noxio;;;;;;['detonate', 'levitate', 'intact', 'villainous', 'censrd'];224.0;5819.0;-636.0;0.85;0.86;;;;
;OCEAN;;;;;;['subtle', 'skdc', 'splyce'];410.0;10602.0;-1962.0;0.74;0.77;;;;
;OKOLICIOUZ;;;;;;['virtuspro', 'nlg', 'unicorns-of-love'];242.0;6383.0;-192.0;0.96;0.96;;;;
374.0;OLIMP;6.1;0.68;0.7;77.62;155.0;;;;;;;;;;
548.0;OWNER;5.9;0.66;0.68;72.51;227.0;['b8', 'spirit-academy', 'ex-marlian'];447.0;11477.0;133.0;1.02;1.0;;;;
;ObZen;;;;;;['rot', 'stirlzs-angels', 'downfall'];281.0;7186.0;462.0;1.1;1.05;;;;
;Oderus;;;;;;['spacestation', 'blackout', 'the-pioneers'];473.0;12356.0;-52.0;0.99;1.0;;;;
;Olivia;;;;;;['beyond', 'alpha-red', 'signature'];634.0;16189.0;1565.0;1.15;1.1;;;;
864.0;Oxygen;5.7;0.6;0.68;67.75;174.0;;;;;;;;;;
919.0;P3R3IIRA;5.7;0.59;0.69;66.44;35.0;;;;;;;;;;
581.0;P4TriCK;5.9;0.66;0.73;75.8;52.0;['unicorns-of-love', 'the-prodigies', 'divizon'];346.0;9015.0;-488.0;0.92;0.94;;;;
;PALM1;;;;;;['777'];283.0;7560.0;571.0;1.11;1.1;;;;
269.0;PANIX;6.1;0.66;0.61;69.57;172.0;['alternate-attax', 'sangal', 'cowana', 'big-academy'];608.0;15407.0;1183.0;1.12;1.07;;;;
;PASHANOJ;;;;;;['unique'];621.0;16250.0;-2376.0;0.8;0.83;;;;
;PERCY;;;;;;['secret', 'sprout', 'tricked'];1044.0;27719.0;-353.0;0.98;0.98;;;;
1000.0;PKL;5.5;0.56;0.68;65.83;205.0;['fluxo', 'pain', 'luminosity'];1387.0;35816.0;-887.0;0.96;0.95;40.0;21.0;28.0;$127,718
64.0;PNDLM;6.3;0.72;0.69;80.77;49.0;;;;;;;;;;
106.0;POLO;6.3;0.71;0.63;74.32;82.0;['singularity', 'illuminar'];201.0;5090.0;356.0;1.11;1.04;;;;
;PPOverdose;;;;;;['maple', 'zigma', 'signature', 'mith', 'mithmaple'];292.0;7518.0;-106.0;0.98;0.99;;;;
62.0;PR;6.3;0.72;0.65;79.28;101.0;['mouz-nxt', 'cryptova'];241.0;5709.0;240.0;1.06;1.04;;;;
643.0;PR1mE;5.9;0.65;0.68;71.02;145.0;['tricked'];780.0;20680.0;-376.0;0.97;0.97;;;;
966.0;PREDI;5.6;0.59;0.74;71.38;99.0;['windingo', 'furious'];340.0;8758.0;-1135.0;0.83;0.86;;;;
;PTC;;;;;;['lucid-dream', '5power'];476.0;12393.0;1408.0;1.18;1.11;;;;
;Papichulo;;;;;;['bren', 'tnc'];330.0;8596.0;641.0;1.11;1.08;;;;
;Patitek;;;;;;['izako-boars', 'x-kom', 'venatores'];377.0;9918.0;178.0;1.03;1.03;;;;
910.0;Patrick;5.7;0.59;0.69;67.35;190.0;['500', 'fate'];724.0;19397.0;-1376.0;0.9;0.91;;;;
232.0;Patsi;6.2;0.7;0.72;80.56;260.0;['espada', 'spirit', 'spirit-academy'];703.0;18662.0;237.0;1.02;1.02;12.0;12.0;6.0;$107,995
770.0;Patti;5.8;0.62;0.69;70.77;268.0;['astralis-talent', 'ecstatic'];551.0;14108.0;-469.0;0.95;0.95;;;;
263.0;Pechyn;6.1;0.69;0.68;76.49;67.0;['unity', 'esuba'];460.0;12131.0;88.0;1.01;1.0;;;;
797.0;Peeping;5.8;0.64;0.73;70.23;98.0;;;;;;;;;;
1043.0;Penguuuin;5.4;0.56;0.74;65.68;31.0;;;;;;;;;;
493.0;Peppzor;6.0;0.66;0.68;73.95;377.0;['eyeballers', 'fnatic-rising'];658.0;17284.0;-301.0;0.97;0.98;;;;
617.0;PerX;5.9;0.63;0.64;70.26;243.0;['alternate-attax'];509.0;13000.0;-23.0;1.0;0.97;;;;
555.0;Perfecto;5.9;0.62;0.59;68.35;639.0;['cloud9', 'natus-vincere', 'syman'];963.0;25120.0;712.0;1.05;0.99;22.0;10.0;9.0;$1,197,653
;PetitSkel;;;;;;['envyus-academy', 'ldlc-blue'];337.0;8661.0;-12.0;1.0;0.98;;;;
;Pimp;;;;;;['dignitas', 'sk', 'liquid', 'cph-wolves'];983.0;25223.0;2054.0;1.13;1.07;20.0;11.0;16.0;$72,110
1048.0;Ping;5.3;0.55;0.75;62.08;55.0;['viperio', 'fambit', 'chetz'];232.0;5990.0;-563.0;0.87;0.89;;;;
344.0;Pipw;6.1;0.69;0.68;74.51;97.0;;;;;;;;;;
;Pizituh;;;;;;['alientech', 'k1ck', 'exploit'];278.0;7267.0;-388.0;0.92;0.92;;;;
546.0;PlesseN;5.9;0.65;0.71;77.67;205.0;['alliance', 'galaxy-racer', 'chaos', 'japaleno', 'red-reserve'];1627.0;43008.0;-140.0;1.0;1.0;11.0;7.0;13.0;$86,646
605.0;Plopski;5.9;0.63;0.66;71.93;519.0;['ninjas-in-pyjamas', 'godsent', 'x6tence-galaxy'];1276.0;33556.0;913.0;1.04;1.01;14.0;14.0;19.0;$244,105
;Pluto;;;;;;['bad-news-bears', 'vendetta'];301.0;7943.0;-56.0;0.99;0.99;;;;
340.0;Polbandana;6.1;0.68;0.69;74.69;49.0;;;;;;;;;;
;Polen;;;;;;['mythic'];435.0;11470.0;-978.0;0.88;0.89;;;;
;Pollo;;;;;;['torqued', 'gx', 'envy', 'ghost'];309.0;8069.0;-130.0;0.98;0.98;;;;
;Polly;;;;;;['lgb', 'london-conspiracy', 'apeks'];461.0;11987.0;-611.0;0.93;0.93;;;;
;Polox;;;;;;['thedice', 'limitless', 'dead-pixels'];230.0;5880.0;-520.0;0.88;0.9;;;;
154.0;Polt;6.2;0.69;0.68;81.51;111.0;['insilio', '1win', 'unique'];674.0;17559.0;662.0;1.06;1.02;;;;
172.0;Porya;6.2;0.71;0.67;79.07;105.0;['pera', 'ave', '9-pandas'];421.0;11058.0;252.0;1.03;1.01;;;;
;Potti;;;;;;;;;;;;17.0;3.0;3.0;$63,535
418.0;Prism;6.0;0.67;0.7;77.09;71.0;['ungentium', 'honoris', 'illuminar', 'singularity'];494.0;13107.0;-517.0;0.94;0.95;;;;
;Pro.;;;;;;['bren', 'tnc'];329.0;8534.0;-78.0;0.99;0.97;;;;
922.0;ProbLeM;5.7;0.58;0.73;69.92;34.0;['forward', 'hellraisers', 'bankapepsi'];648.0;17533.0;-430.0;0.96;0.96;;;;
;Prodigy;;;;;;['8ballers', 'noxide'];212.0;5416.0;-653.0;0.84;0.88;;;;
962.0;Project90;5.6;0.59;0.7;68.72;33.0;;;;;;;;;;
1052.0;Psycho;5.3;0.52;0.68;62.72;31.0;['project-x', 'cr4zy', 'akuma', 'windigo-academy', 'run-or-die'];516.0;13757.0;-1081.0;0.89;0.89;;;;
649.0;Pugg;5.9;0.64;0.74;75.17;35.0;;;;;;;;;;
;Puls3;;;;;;['endpoint', 'fmesports'];436.0;11572.0;74.0;1.01;0.99;;;;
164.0;PwnAlone;6.2;0.7;0.63;71.77;180.0;['party-astronauts', 'new-england-whalers'];1170.0;30099.0;3016.0;1.16;1.1;33.0;18.0;26.0;$118,436
692.0;Python;5.8;0.65;0.66;70.44;97.0;['falcons', 'heretics'];330.0;8896.0;35.0;1.01;0.98;;;;
917.0;Q-Q;5.7;0.57;0.63;64.93;131.0;['mouz-nxt'];281.0;7427.0;-226.0;0.95;0.94;;;;
;QKA;;;;;;['5power', 'uya', 'boot'];402.0;10409.0;702.0;1.1;1.07;;;;
722.0;Qikert;5.8;0.6;0.63;68.81;502.0;['avangar', 'virtuspro'];1453.0;38290.0;1728.0;1.07;1.03;30.0;12.0;7.0;$600,720
360.0;Qlocuu;6.1;0.68;0.7;74.5;82.0;;;;;;;;;;
537.0;Queenix;5.9;0.63;0.65;71.29;323.0;['ecstatic', 'masonic', 'x6tence'];912.0;23805.0;-224.0;0.99;0.97;;;;
;R0b3n;;;;;;['unique', 'space-jam', 'ex-ethereal'];530.0;13950.0;208.0;1.02;1.0;;;;
1056.0;R2D2J;5.3;0.54;0.75;62.03;31.0;;;;;;;;;;
1053.0;RAiLWAY;5.3;0.53;0.73;64.29;59.0;['inde-irae', 'espada'];577.0;15627.0;-1059.0;0.91;0.93;;;;
134.0;RCF;6.3;0.7;0.62;72.99;169.0;['case', 'sharks', 'yeah'];965.0;24796.0;1386.0;1.09;1.05;;;;
92.0;REDSTAR;6.3;0.71;0.63;76.55;287.0;['500', 'fiend', 'bpro'];1000.0;26433.0;2090.0;1.13;1.06;21.0;22.0;16.0;$115,700
;REFLEX;;;;;;['havu', 'encore', '3dmax'];307.0;7807.0;119.0;1.02;1.0;;;;
237.0;REZ;6.2;0.69;0.66;75.78;583.0;['ninjas-in-pyjamas', 'epsilon'];1610.0;42163.0;1500.0;1.05;1.03;15.0;8.0;19.0;$442,380
825.0;RICIOLI;5.7;0.6;0.67;69.89;151.0;['case', 'oddik', 'sws', 'uno-mille'];635.0;16458.0;-1153.0;0.9;0.9;;;;
;RIKO;;;;;;['monstars', 'denial'];406.0;10568.0;155.0;1.02;1.03;;;;
;RIZZZ;;;;;;['offset', 'giants'];448.0;11726.0;-594.0;0.93;0.94;;;;
;RMN;;;;;;['w7m', 'black-dragons', 'paquet'];319.0;8295.0;186.0;1.03;1.02;;;;
;ROBO;;;;;;['nemiga'];667.0;17746.0;628.0;1.05;1.02;;;;
18.0;ROGA;6.5;0.75;0.59;73.96;85.0;['partizan'];241.0;6551.0;958.0;1.24;1.13;;;;
;RUBINO;;;;;;['dignitas', 'nordavind', 'lgb'];998.0;26140.0;-170.0;0.99;0.98;7.0;9.0;10.0;$178,706
933.0;RUSH;5.6;0.58;0.67;66.21;289.0;['cloud9', 'complexity', 'optic'];1590.0;41556.0;-365.0;0.99;0.97;19.0;12.0;21.0;$628,370
690.0;RZU;5.8;0.66;0.75;72.34;32.0;['triumph', 'bad-news-bears', 'brazen'];531.0;13713.0;-601.0;0.94;0.96;;;;
;RaZ;;;;;;['parallax', 'avant', 'animal-squad', 'winterfox'];373.0;9513.0;13.0;1.0;0.99;;;;
;Rackem;;;;;;['rooster', 'dynasty', 'incept', 'rooster-2'];231.0;5662.0;-2.0;1.0;0.99;;;;
;Radifaction;;;;;;['secret', 'nordavind', 'nochance', 'apeks'];513.0;13736.0;-179.0;0.98;0.98;;;;
631.0;Raijin;5.9;0.64;0.67;71.39;148.0;['k23', 'ave'];461.0;12515.0;225.0;1.03;1.01;;;;
187.0;Rainwaker;6.2;0.68;0.63;77.0;250.0;['500', 'skade'];1499.0;40193.0;2855.0;1.11;1.06;29.0;14.0;13.0;$124,039
;Rak;;;;;;['alternate-attax', 'playing-ducks'];203.0;5120.0;-144.0;0.96;0.96;;;;
;Rampage;;;;;;['new-england-whalers'];232.0;6136.0;-223.0;0.95;0.95;;;;
;Ramz1kBO$$;;;;;;['tengri', 'syman'];425.0;11070.0;553.0;1.07;1.05;;;;
;RattlesnK;;;;;;;;;;;;14.0;8.0;9.0;$81,837
783.0;Razzmo;5.8;0.63;0.69;70.51;34.0;;;;;;;;;;
;Reality;;;;;;['signature', 'maple', 'zigma'];367.0;9374.0;459.0;1.07;1.04;;;;
955.0;Reatz;5.6;0.61;0.68;65.84;40.0;;;;;;;;;;
;Relaxa;;;;;;['chaos', 'red-reserve', 'japaleno', 'apeks', 'galaxy-racer'];1204.0;32063.0;1931.0;1.1;1.03;;;;
;Relyks;;;;;;['eunited', 'enemy', 'selfless', 'new-identity'];832.0;21258.0;161.0;1.01;1.0;5.0;11.0;13.0;$62,988
;Remoy;;;;;;['singularity', 'ambush', 'opaa'];310.0;8241.0;-71.0;0.99;0.98;;;;
;Rickeh;;;;;;['order', 'clg', 'rogue'];968.0;25293.0;2388.0;1.15;1.07;9.0;24.0;13.0;$102,389
;Rita;;;;;;['five', 'hegemonyperson'];204.0;5145.0;-585.0;0.84;0.86;;;;
867.0;Ro1f;5.7;0.59;0.66;66.82;151.0;['young-ninjas', 'prospects', 'godsent'];566.0;14885.0;-954.0;0.9;0.91;;;;
;RoLEX;;;;;;['signature', 'zigma', 'beyond', 'mith'];492.0;12610.0;33.0;1.0;1.0;;;;
;RobbaN;;;;;;;;;;;;24.0;21.0;7.0;$131,448
;Rock1nG;;;;;;['skade', 'outlaws', 'bpro'];923.0;24313.0;-1142.0;0.93;0.94;;;;
